chunk_0000| We are what we think. All that we are arises with our thoughts. With our thoughts, we make the world.| We are what we think. All that we are arises with our thoughts. With our thoughts, we make the world.
chunk_0001| Buddha. The Illustrious Buddha. This is my simple religion. There is no need for temples| Buddha. The Illustrious Buddha. This is my simple religion. There is no need for temples
chunk_0002| No need for complicated philosophy. Our own brain, our own heart is our temple. The philosophy is kindness.| No need for complicated philosophy. Our own brain, our own heart is our temple. The philosophy is kindness.
chunk_0003| We've all seen Buddhist statues and monks in robes. We've heard about the Buddha and about meditation. But what does it all mean?| We've all seen Buddhist statues and monks in robes. We've heard about the Buddha and about meditation. But what does it all mean?
chunk_0004| How do we benefit from Buddhism, and what does it mean in our lives? What is Nirvana, besides a famous indie rock band, and is a| How do we benefit from Buddhism, and what does it mean in our lives? What is Nirvana, besides a famous indie rock band, and is a
chunk_0005| possible to reach it? Are all Buddhists vegetarian? And do they worship idols? What are the benefits and dangers of meditation. The book is aimed at helping| possible to reach it? Are all Buddhists vegetarian? And do they worship idols? What are the benefits and dangers of meditation. The book is aimed at helping
chunk_0006| answering these questions and introducing you to the most important concepts of Buddhist thought in a way that makes sense to the average Western reader, and in such a way that it can| answering these questions and introducing you to the most important concepts of Buddhist thought in a way that makes sense to the average Western reader, and in such a way that it can
chunk_0007| easily put into practice. More and more people are investigating the ideas related to the Buddha, including mindfulness, inner peace, meditation,| easily put into practice. More and more people are investigating the ideas related to the Buddha, including mindfulness, inner peace, meditation,
chunk_0008| meditation, compassion, and more. Some of this interest is related to recent discoveries in particle science and also new insights into the science| meditation, compassion, and more. Some of this interest is related to recent discoveries in particle science and also new insights into the science
chunk_0009| of the mind. As scientific inquiry opens up realms of exploration into the minuscule world of subatomic particles and into the realms of the mind, modern science| of the mind. As scientific inquiry opens up realms of exploration into the minuscule world of subatomic particles and into the realms of the mind, modern science
chunk_0010| researchers are finding hidden gems in the teachings of the legendary Siddhartha Gautama, the Buddha. Things that are now coming to light were considered| researchers are finding hidden gems in the teachings of the legendary Siddhartha Gautama, the Buddha. Things that are now coming to light were considered
